Chapter,Country,Ratification,Treaty,Signature
Commodities,United States of America,,"Terms of Reference of the International Copper Study Group.   Geneva, 24 February 1989",
Commodities,Zambia,,"Terms of Reference of the International Copper Study Group.   Geneva, 24 February 1989",
Commodities,Argentina,9 Jul 2009,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",29 Dec 1992
Commodities,Australia,24 Dec 1992,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",24 Dec 1992
Commodities,Austria,[19 Jul 1993 ],"International Sugar Agreement, 1992.   Geneva, 20 March 1992",[29 Dec 1992 ]
Commodities,Barbados,[27 Mar 2007 a],"International Sugar Agreement, 1992.   Geneva, 20 March 1992",[31 Dec 1992 ]
Commodities,Belarus,27 Sep 1993 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Belize,24 Jan 1994 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Brazil,10 Dec 1996,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",30 Dec 1992
Commodities,Cameroon,20 Feb 2006 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Chad,11 Dec 2007 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Colombia,13 Dec 1996,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",31 Dec 1992
Commodities,Congo,26 Apr 2007 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Costa Rica,11 Oct 1996 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Côte d'Ivoire,23 Mar 1993 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Croatia,3 Mar 2008 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Cuba,14 Oct 1994,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",3 Nov 1992
Commodities,Dominican Republic,19 Mar 1998,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",25 Nov 1992
Commodities,Ecuador,29 Dec 1993 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Egypt,20 Oct 1998 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,El Salvador,,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Ethiopia,8 Aug 2002 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,European Union,20 Nov 1992 AA,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",20 Nov 1992
Commodities,Fiji,21 Dec 1992,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",4 Dec 1992
Commodities,Finland,[21 Sep 1993 ],"International Sugar Agreement, 1992.   Geneva, 20 March 1992",[22 Dec 1992 ]
Commodities,Ghana,28 Aug 2008 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Guatemala,31 May 2006,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",31 Dec 1992
Commodities,Guyana,24 Dec 1992,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",24 Dec 1992
Commodities,Honduras,27 Oct 1998 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Hungary,19 Mar 1993 AA,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",31 Dec 1992
Commodities,India,20 Jan 1993,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",31 Dec 1992
Commodities,Indonesia,12 May 2011 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Iran (Islamic Republic of),29 Apr 2002 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Jamaica,23 Mar 1993,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",23 Dec 1992
Commodities,Japan,[29 Dec 1992 A],"International Sugar Agreement, 1992.   Geneva, 20 March 1992",[29 Dec 1992 ]
Commodities,Kenya,6 Nov 1995 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Latvia,7 Jul 1994 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Malawi,13 Sep 1993 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Mauritius,18 Dec 1992,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",18 Dec 1992
Commodities,Mexico,16 Jun 1997 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Morocco,8 Apr 2009 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Mozambique,18 Jan 2005 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Nicaragua,29 Jan 2010 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Nigeria,19 Oct 1999 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Pakistan,22 Jan 2002 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Panama,,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",23 Dec 1992
Commodities,Paraguay,19 Sep 2005 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Philippines,14 Nov 1996 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Republic of Korea,15 Apr 1993,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",23 Dec 1992
Commodities,Republic of Moldova,9 Jun 1998 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Romania,10 Dec 1999 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Russian Federation,7 Jan 2003 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Serbia,14 May 2002 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,South Africa,22 Dec 1992,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",22 Dec 1992
Commodities,Sudan,,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Swaziland,23 Dec 1992,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",23 Dec 1992
Commodities,Sweden,[21 Jan 1993 ],"International Sugar Agreement, 1992.   Geneva, 20 March 1992",[18 Dec 1992 ]
Commodities,Switzerland,27 Jan 1994,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",30 Dec 1992
Commodities,Thailand,8 Apr 1993,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",30 Dec 1992
Commodities,Trinidad and Tobago,9 Sep 1993,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",31 Dec 1992
Commodities,Tunisia,11 Jan 2007 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Turkey,21 Jan 1998 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Uganda,9 Mar 2007 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Ukraine,28 Oct 1994 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,United Arab Emirates,11 May 2007 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,United Republic of Tanzania,31 Oct 2002 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Viet Nam,16 Nov 2000 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Zambia,21 Jun 2000,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",31 Dec 1992
Commodities,Zimbabwe,14 Dec 1994 a,"International Sugar Agreement, 1992.   Geneva, 20 March 1992",
Commodities,Australia,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",2 Feb 1996 s
Commodities,Austria,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",16 May 1997
Commodities,Belgium,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,Bolivia (Plurinational State of),,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",17 Aug 1995
Commodities,Brazil,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",28 Nov 1997
Commodities,Cambodia,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",3 Feb 1995 A
Commodities,Cameroon,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,Canada,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",23 May 1996
Commodities,Central African Republic,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,China,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",31 Jul 1996 AA
Commodities,Colombia,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",16 Aug 1999
Commodities,Congo,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,Côte d'Ivoire,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",31 Jan 1997
Commodities,Democratic Republic of the Congo,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,Denmark,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",13 May 1996
Commodities,Ecuador,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",6 Sep 1995
Commodities,Egypt,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",13 Apr 2000
Commodities,European Union,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,Fiji,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,Finland,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,France,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",17 Aug 2006 AA
Commodities,Gabon,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,Germany,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,Ghana,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",28 Aug 1995
Commodities,Greece,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",13 Oct 1997
Commodities,Guatemala,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",3 May 2001 a
Commodities,Guyana,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",27 Aug 1997
Commodities,Honduras,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,India,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",17 Oct 1996
Commodities,Indonesia,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",17 Feb 1995
Commodities,Ireland,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",18 Aug 2000
Commodities,Italy,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",25 Jun 1998
Commodities,Japan,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",9 May 1995 A
Commodities,Liberia,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",9 Dec 1994 s
Commodities,Luxembourg,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,Malaysia,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",1 Mar 1995
Commodities,Mexico,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",11 Mar 2004 a
Commodities,Myanmar,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",31 Jan 1996
Commodities,Nepal,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,Netherlands,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,New Zealand,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",6 Jun 1995 s
Commodities,Nigeria,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",28 Feb 2002 a
Commodities,Norway,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",1 Feb 1995
Commodities,Panama,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",4 Apr 1996
Commodities,Papua New Guinea,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",13 May 1996
Commodities,Peru,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",21 Sep 1995
Commodities,Philippines,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,Poland,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",19 Dec 2006 a
Commodities,Portugal,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",4 Nov 1999
Commodities,Republic of Korea,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",12 Sep 1995
Commodities,Spain,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",15 Jan 1997
Commodities,Suriname,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",24 Aug 1998 a
Commodities,Sweden,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",13 May 1996
Commodities,Switzerland,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",10 Jun 1996
Commodities,Thailand,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",25 Jul 1996
Commodities,Togo,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",4 Oct 1995 A
Commodities,Trinidad and Tobago,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",29 Dec 1998 a
Commodities,United Kingdom of Great Britain and Northern Ireland,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",
Commodities,United States of America,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",14 Nov 1996 A
Commodities,Vanuatu,,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",19 May 2000 a
Commodities,Venezuela (Bolivarian Republic of),,"International Tropical Timber Agreement, 1994.   Geneva, 26 January 1994",2 Mar 1998
Commodities,Algeria,23 Apr 1997 a,"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,Argentina,6 Jan 1997 a,"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,Australia,28 Jun 1995 a,"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,Canada,26 Jun 1995,"Grains Trade Convention, 1995.   London, 7 December 1994",26 Jun 1995
Commodities,Côte d'Ivoire,14 Nov 2002,"Grains Trade Convention, 1995.   London, 7 December 1994",15 Jun 1995
Commodities,Cuba,16 Oct 1995,"Grains Trade Convention, 1995.   London, 7 December 1994",22 Jun 1995
Commodities,Ecuador,[ 4 Nov 1997 a],"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,Egypt,27 May 1998,"Grains Trade Convention, 1995.   London, 7 December 1994",30 Jun 1995
Commodities,European Union,1 Feb 1996 AA,"Grains Trade Convention, 1995.   London, 7 December 1994",30 Jun 1995
Commodities,Holy See,28 Jun 1995,"Grains Trade Convention, 1995.   London, 7 December 1994",20 Jun 1995
Commodities,Hungary,29 Jun 1995 AA,"Grains Trade Convention, 1995.   London, 7 December 1994",29 Jun 1995
Commodities,India,27 Jun 1995,"Grains Trade Convention, 1995.   London, 7 December 1994",22 Jun 1995
Commodities,Iran (Islamic Republic of),29 Apr 2002 a,"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,Japan,1 Dec 1995 A,"Grains Trade Convention, 1995.   London, 7 December 1994",21 Jun 1995
Commodities,Kazakhstan,9 Jul 2003 a,"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,Kenya,15 Jun 1998 a,"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,Malta,31 Oct 1996 a,"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,Mauritius,29 Jun 1995 a,"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,Morocco,10 Jul 1997,"Grains Trade Convention, 1995.   London, 7 December 1994",26 Jun 1995
Commodities,Norway,6 Oct 1997,"Grains Trade Convention, 1995.   London, 7 December 1994",21 Jun 1995
Commodities,Pakistan,3 Apr 1997 a,"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,Panama,,"Grains Trade Convention, 1995.   London, 7 December 1994",30 Jun 1995
Commodities,Republic of Korea,4 Mar 1996 a,"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,Russian Federation,3 Dec 2007 a,"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,Saudi Arabia,16 Jan 2012 a,"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,South Africa,14 Nov 1996 a,"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,Switzerland,16 Apr 1996,"Grains Trade Convention, 1995.   London, 7 December 1994",16 Jun 1995
Commodities,Tunisia,31 Jul 1996,"Grains Trade Convention, 1995.   London, 7 December 1994",30 Jun 1995
Commodities,Turkey,10 Jul 1996 a,"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,Ukraine,21 Oct 2010 a,"Grains Trade Convention, 1995.   London, 7 December 1994",
Commodities,United States of America,21 May 1999,"Grains Trade Convention, 1995.   London, 7 December 1994",26 Jun 1995
Commodities,Australia,7 Dec 1999 a,"Food Aid Convention, 1999.   London, 13 April 1999",
Commodities,Austria,7 Aug 2002 a,"Food Aid Convention, 1999.   London, 13 April 1999",
Commodities,Belgium,14 Dec 2001,"Food Aid Convention, 1999.   London, 13 April 1999",30 Jun 1999
Commodities,Canada,21 Jun 1999,"Food Aid Convention, 1999.   London, 13 April 1999",21 Jun 1999
Commodities,Denmark,2 Jul 1999,"Food Aid Convention, 1999.   London, 13 April 1999",29 Jun 1999
Commodities,European Union,19 Jul 2000 AA,"Food Aid Convention, 1999.   London, 13 April 1999",29 Jun 1999
Commodities,Finland,19 Jul 1999 A,"Food Aid Convention, 1999.   London, 13 April 1999",30 Jun 1999
Commodities,France,17 Oct 2002,"Food Aid Convention, 1999.   London, 13 April 1999",29 Jun 1999
Commodities,Germany,24 Jul 2000,"Food Aid Convention, 1999.   London, 13 April 1999",29 Jun 1999
Commodities,Greece,23 Apr 2002 a,"Food Aid Convention, 1999.   London, 13 April 1999",
Commodities,Hungary,22 Aug 2007 a,"Food Aid Convention, 1999.   London, 13 April 1999",
Commodities,Ireland,29 Jun 1999,"Food Aid Convention, 1999.   London, 13 April 1999",29 Jun 1999
Commodities,Italy,21 Mar 2001 a,"Food Aid Convention, 1999.   London, 13 April 1999",
Commodities,Japan,20 Dec 1999 A,"Food Aid Convention, 1999.   London, 13 April 1999",25 Jun 1999
Commodities,Luxembourg,27 Jul 2004,"Food Aid Convention, 1999.   London, 13 April 1999",29 Jun 1999
Commodities,Netherlands,23 Jun 2000 a,"Food Aid Convention, 1999.   London, 13 April 1999",
Commodities,Norway,20 Jun 2000,"Food Aid Convention, 1999.   London, 13 April 1999",30 Jun 1999
Commodities,Poland,15 Sep 2006 a,"Food Aid Convention, 1999.   London, 13 April 1999",
Commodities,Portugal,27 Feb 2007 a,"Food Aid Convention, 1999.   London, 13 April 1999",
Commodities,Slovenia,26 Oct 2007 a,"Food Aid Convention, 1999.   London, 13 April 1999",
Commodities,Spain,9 Jan 2001,"Food Aid Convention, 1999.   London, 13 April 1999",29 Jun 1999
Commodities,Sweden,26 May 2000 a,"Food Aid Convention, 1999.   London, 13 April 1999",
Commodities,Switzerland,29 Jun 1999 a,"Food Aid Convention, 1999.   London, 13 April 1999",
Commodities,United Kingdom of Great Britain and Northern Ireland,27 Jun 2000,"Food Aid Convention, 1999.   London, 13 April 1999",29 Jun 1999
Commodities,United States of America,5 Jan 2001,"Food Aid Convention, 1999.   London, 13 April 1999",16 Jun 1999
Commodities,Angola,2 Jan 2002 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Austria,23 Sep 2002 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Belgium,,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,Benin,21 Mar 2003 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Bolivia (Plurinational State of),30 May 2002 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Brazil,21 Sep 2001,"International Coffee Agreement 2001.   London, 28 September 2000",18 Sep 2001
Commodities,Bulgaria,15 Mar 2007 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Burundi,24 Sep 2001 A,"International Coffee Agreement 2001.   London, 28 September 2000",24 Sep 2001
Commodities,Cameroon,28 May 2002 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Central African Republic,19 Dec 2002 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Colombia,17 Feb 2004,"International Coffee Agreement 2001.   London, 28 September 2000",20 Jun 2001
Commodities,Congo,25 Sep 2001,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,Costa Rica,25 Sep 2002,"International Coffee Agreement 2001.   London, 28 September 2000",20 Dec 2000
Commodities,Côte d'Ivoire,29 Jan 2002 AA,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,Cuba,26 Dec 2001,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,Cyprus,23 Jan 2002 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Democratic Republic of the Congo,12 Apr 2002 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Denmark,5 Jun 2002,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,Dominican Republic,5 Mar 2004,"International Coffee Agreement 2001.   London, 28 September 2000",10 Aug 2001
Commodities,Ecuador,5 Feb 2002,"International Coffee Agreement 2001.   London, 28 September 2000",15 Aug 2001
Commodities,El Salvador,25 Jan 2002 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Ethiopia,16 Apr 2003,"International Coffee Agreement 2001.   London, 28 September 2000",23 Mar 2001
Commodities,European Union,25 Sep 2001 AA,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,France,25 Apr 2005 AA,"International Coffee Agreement 2001.   London, 28 September 2000",24 Sep 2001
Commodities,Gabon,25 Sep 2001 A,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,Germany,20 Dec 2002,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,Ghana,31 May 2006,"International Coffee Agreement 2001.   London, 28 September 2000",24 Sep 2001
Commodities,Greece,4 Mar 2004 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Guatemala,5 Feb 2003 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Guinea,21 May 2003 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Haiti,24 Sep 2002 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Honduras,24 Sep 2002,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,India,10 Sep 2001,"International Coffee Agreement 2001.   London, 28 September 2000",10 Aug 2001
Commodities,Indonesia,23 Aug 2002 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Ireland,11 Jun 2002,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,Italy,17 May 2005,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,Jamaica,1 Nov 2001,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,Japan,[11 Jul 2001 A],"International Coffee Agreement 2001.   London, 28 September 2000",[11 Jul 2001 ]
Commodities,Kenya,1 Nov 2001 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Latvia,4 Jan 2006 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Luxembourg,,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,Madagascar,24 Sep 2001 A,"International Coffee Agreement 2001.   London, 28 September 2000",24 Sep 2001
Commodities,Malawi,12 Feb 2003 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Mexico,9 Jul 2002,"International Coffee Agreement 2001.   London, 28 September 2000",24 Sep 2001
Commodities,Netherlands,25 May 2007 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Nicaragua,12 Dec 2002 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Nigeria,26 Feb 2002 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Norway,21 May 2002 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Panama,26 Jul 2006 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Papua New Guinea,23 Jan 2002 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Paraguay,10 Mar 2004 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Philippines,28 May 2002 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Poland,15 Sep 2006 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Portugal,21 May 2003,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,Romania,24 Mar 2008 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Rwanda,13 Sep 2001,"International Coffee Agreement 2001.   London, 28 September 2000",4 Sep 2001
Commodities,Slovakia,1 Jun 2006 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Spain,7 Jun 2002,"International Coffee Agreement 2001.   London, 28 September 2000",20 Sep 2001
Commodities,Sweden,19 Nov 2001 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Switzerland,30 Apr 2002,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,Thailand,24 Sep 2001,"International Coffee Agreement 2001.   London, 28 September 2000",24 Sep 2001
Commodities,Togo,9 May 2003 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Uganda,5 Oct 2001,"International Coffee Agreement 2001.   London, 28 September 2000",9 May 2001
Commodities,United Kingdom of Great Britain and Northern Ireland,2 Jun 2003,"International Coffee Agreement 2001.   London, 28 September 2000",25 Sep 2001
Commodities,United Republic of Tanzania,31 Oct 2002,"International Coffee Agreement 2001.   London, 28 September 2000",26 Jan 2001
Commodities,United States of America,3 Feb 2005 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Venezuela (Bolivarian Republic of),8 Jul 2004 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Viet Nam,2 May 2002 AA,"International Coffee Agreement 2001.   London, 28 September 2000",22 Aug 2001
Commodities,Zambia,26 Mar 2003 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Zimbabwe,3 Jun 2004 a,"International Coffee Agreement 2001.   London, 28 September 2000",
Commodities,Brazil,24 Sep 2004,"International Cocoa Agreement, 2001.   Geneva, 2 March 2001",20 Nov 2001
Commodities,Cameroon,30 Jun 2003,"International Cocoa Agreement, 2001.   Geneva, 2 March 2001",5 Oct 2001
Commodities,Côte d'Ivoire,14 Nov 2002,"International Cocoa Agreement, 2001.   Geneva, 2 March 2001",6 Nov 2001
Commodities,Cyprus,2 Sep 2010 a,"International Cocoa Agreement, 2001.   Geneva, 2 March 2001",
Commodities,Dominican Republic,2 Nov 2005,"International Cocoa Agreement, 2001.   Geneva, 2 March 2001",22 May 2003
Commodities,Ecuador,13 Oct 2003 a,"International Cocoa Agreement, 2001.   Geneva, 2 March 2001",
Commodities,European Union,12 Dec 2002 AA,"International Cocoa Agreement, 2001.   Geneva, 2 March 2001",12 Dec 2002
Commodities,Gabon,25 Feb 2003 a,"International Cocoa Agreement, 2001.   Geneva, 2 March 2001",
Commodities,Ghana,21 Feb 2003,"International Cocoa Agreement, 2001.   Geneva, 2 March 2001",17 Jun 2002
Commodities,Malaysia,,"International Cocoa Agreement, 2001.   Geneva, 2 March 2001",16 May 2002
Commodities,Nicaragua,3 Aug 2009 a,"International Cocoa Agreement, 2001.   Geneva, 2 March 2001",
Commodities,Nigeria,11 Mar 2003 a,"International Cocoa Agreement, 2001.   Geneva, 2 March 2001",
